filename, language, HTML, CSS, JavaScript, JSON, SCSS, XML, Markdown, comment, blank, total
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\Content\adminlte.css, CSS, 0, 23807, 0, 0, 0, 0, 0, 21, 4672, 28500
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\Content\adminlte.min.css, CSS, 0, 3, 0, 0, 0, 0, 0, 9, 0, 12
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\Content\alt\adminlte.components.css, CSS, 0, 3992, 0, 0, 0, 0, 0, 8, 1013, 5013
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\Content\alt\adminlte.components.min.css, CSS, 0, 1, 0, 0, 0, 0, 0, 7, 0, 8
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\Content\alt\adminlte.core.css, CSS, 0, 13193, 0, 0, 0, 0, 0, 14, 2196, 15403
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\Content\alt\adminlte.core.min.css, CSS, 0, 3, 0, 0, 0, 0, 0, 10, 0, 13
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\Content\alt\adminlte.extra-components.css, CSS, 0, 861, 0, 0, 0, 0, 0, 8, 180, 1049
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\Content\alt\adminlte.extra-components.min.css, CSS, 0, 1, 0, 0, 0, 0, 0, 7, 0, 8
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\Content\alt\adminlte.pages.css, CSS, 0, 359, 0, 0, 0, 0, 0, 8, 77, 444
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\Content\alt\adminlte.pages.min.css, CSS, 0, 1, 0, 0, 0, 0, 0, 7, 0, 8
